id,length,numcharge,fracnumcharge,netcharge,fracnetcharge,absnetcharge,fracabsnetcharge,kr_ratio,helix,sheet,turn,molecular_weight,average_molecular_weight,aromaticity,flexibility,gravy,mec_crd,mec_csd,isoelectric_point,instability_index,h6,h2,h2e,hph6,hph2
P0AFP6,247,0.20242914979757087,0.0008195512137553477,-0.048582995951417,-0.00019669229130128338,0.048582995951417,0.00019669229130128338,0.7272727272727273,0.3076923076923077,0.23886639676113358,0.3076923076923077,26892.1471,108.8750894736842,0.0688259109311741,0.9974930555555556,-0.12510121457489864,44460,44585,5.06721897125244,33.259554655870446,-0.1079693034238489,-0.13319783197831983,-0.13329945799458,-0.09114521841794569,-0.08197831978319782
P00370,447,0.21029082774049218,0.0004704492790615038,-0.013422818791946317,-3.002867738690451e-05,0.013422818791946317,3.002867738690451e-05,1.0,0.28187919463087246,0.23042505592841164,0.29306487695749445,48580.831000000064,108.68194854586145,0.08277404921700224,0.9999227272727271,-0.15794183445190238,42400,42650,5.982213020324706,26.100223713646525,-0.1658047834518423,-0.16449925261584458,-0.1630418535127056,-0.023238526179702634,-0.024065769805680107
P0ABD3,158,0.31645569620253167,0.00200288415318058,-0.08860759493670886,-0.0005608075628905624,0.08860759493670886,0.0005608075628905624,1.0,0.3417721518987342,0.16455696202531647,0.3607594936708861,18494.815499999997,117.05579430379746,0.0759493670886076,1.0009131714495951,-0.47215189873417746,21430,21430,4.690205955505371,49.060126582278485,-0.43874883286648,-0.4823779193205946,-0.4860403397027602,0.18263305322128853,0.22080679405520173
Q46891,260,0.2230769230769231,0.0008579881656804734,-0.05384615384615385,-0.00020710059171597634,0.05384615384615385,0.00020710059171597634,0.4666666666666667,0.33076923076923076,0.19230769230769235,0.31153846153846154,29360.742600000016,112.92593307692314,0.12692307692307692,0.9943715415019764,-0.20846153846153848,45380,45505,5.085009574890136,34.229230769230774,-0.19714285714285718,-0.21312741312741318,-0.2157335907335908,-0.10397759103641456,-0.09819819819819815
P0A763,142,0.22535211267605634,0.0015869867089863122,-0.028169014084507032,-0.00019837333862328895,0.028169014084507032,0.00019837333862328895,0.5555555555555556,0.28873239436619713,0.23239436619718307,0.28873239436619713,15332.059599999986,107.97225070422526,0.09154929577464789,0.9989333333333333,-0.09577464788732386,4470,4470,5.546087455749511,24.30429577464788,-0.0626694473409802,-0.09432624113475191,-0.10549645390070922,-0.011157455683003133,0.014420803782505896
P37672,333,0.22822822822822822,0.0006853700547394241,-0.024024024024024017,-7.214421628836041e-05,0.024024024024024017,7.214421628836041e-05,0.6190476190476192,0.28228228228228225,0.2312312312312312,0.2732732732732733,36643.40450000003,110.04025375375386,0.06906906906906907,0.9998858214042263,-0.18348348348348356,48930,49055,5.191298484802245,31.226426426426432,-0.20492160278745647,-0.18965863453815268,-0.1897339357429719,0.02844076655052265,0.02389558232931729
P65556,180,0.29444444444444445,0.0016358024691358025,-0.08333333333333336,-0.0004629629629629631,0.08333333333333336,0.0004629629629629631,0.46153846153846156,0.26111111111111107,0.15,0.35555555555555557,20375.64300000001,113.19801666666673,0.07222222222222222,1.001525369299936,-0.42722222222222267,24980,25230,4.698220252990722,54.351722222222214,-0.394204081632653,-0.4301675977653631,-0.43770949720670393,0.21959183673469385,0.24338919925512106
P32156,104,0.24038461538461542,0.0023113905325443792,-0.04807692307692308,-0.00046227810650887577,0.04807692307692308,0.00046227810650887577,0.6666666666666666,0.3076923076923077,0.20192307692307693,0.3076923076923077,12264.758699999993,117.93037211538454,0.11538461538461539,0.9996643757159221,-0.5144230769230769,29450,29450,5.2583116531372065,75.44817307692308,-0.5767676767676768,-0.526537216828479,-0.5350323624595469,0.009090909090909113,-0.012944983818770198
P0AEM0,169,0.20710059171597633,0.001225447288260215,-0.08875739644970415,-0.0005251916949686636,0.08875739644970415,0.0005251916949686636,0.6666666666666666,0.2662721893491124,0.2781065088757397,0.28402366863905326,18244.116599999998,107.95335266272188,0.0591715976331361,1.0018079561042526,-0.22485207100591753,1490,1490,4.907501411437988,40.12958579881656,-0.2387630662020906,-0.23730158730158735,-0.23745039682539687,0.02639372822299652,0.031150793650793682
P0AFC0,150,0.26,0.0017333333333333335,-0.020000000000000018,-0.00013333333333333345,0.020000000000000018,0.00013333333333333345,0.6363636363636364,0.32000000000000006,0.12666666666666668,0.2866666666666667,17305.55309999999,115.37035399999994,0.09333333333333334,0.9956480186480189,-0.2680000000000002,27960,28085,5.812491798400879,51.99799999999998,-0.2740886699507389,-0.28232662192393737,-0.2824944071588367,0.0354679802955665,0.05458612975391501
